LocationID;LocationType;Date;tre200dx
10122;1;202309270000;18.5
10123;1;202309270000;21.2
10124;1;202309270000;18.2
10125;1;202309270000;20.3
10126;1;202309270000;21.0
10131;1;202309270000;22.4
10132;1;202309270000;21.6
10133;1;202309270000;21.8
10134;1;202309270000;21.4
10135;1;202309270000;21.1
10136;1;202309270000;21.5
10137;1;202309270000;21.7
10138;1;202309270000;21.4
10139;1;202309270000;21.4
10140;1;202309270000;21.2
10141;1;202309270000;21.0
10142;1;202309270000;17.9
10143;1;202309270000;20.0
10144;1;202309270000;17.5
10145;1;202309270000;19.1
10146;1;202309270000;17.9
10147;1;202309270000;19.3
10148;1;202309270000;17.3
10149;1;202309270000;20.9
10150;1;202309270000;16.8
10152;1;202309270000;23.4
10153;1;202309270000;19.1
10154;1;202309270000;18.3
10155;1;202309270000;15.4
10156;1;202309270000;17.9
10157;1;202309270000;19.3
10158;1;202309270000;17.7
10159;1;202309270000;22.7
10161;1;202309270000;17.9
10162;1;202309270000;20.1
10163;1;202309270000;17.9
10164;1;202309270000;19.0
10165;1;202309270000;17.4
10166;1;202309270000;21.4
10167;1;202309270000;22.1
10168;1;202309270000;15.7
10169;1;202309270000;18.7
10170;1;202309270000;21.2
10171;1;202309270000;20.8
10173;1;202309270000;21.4
10177;1;202309270000;18.9
10179;1;202309270000;19.2
10184;1;202309270000;24.4
10186;1;202309270000;17.2
10187;1;202309270000;21.6
10188;1;202309270000;20.8
10189;1;202309270000;21.0
10190;1;202309270000;21.3
10191;1;202309270000;21.2
10192;1;202309270000;21.1
10193;1;202309270000;20.6
10194;1;202309270000;19.2
10195;1;202309270000;21.3
10196;1;202309270000;19.8
10198;1;202309270000;22.2
10199;1;202309270000;22.0
10202;1;202309270000;21.3
10203;1;202309270000;21.0
10204;1;202309270000;21.3
10207;1;202309270000;21.4
10216;1;202309270000;20.9
10217;1;202309270000;21.6
10218;1;202309270000;21.7
10219;1;202309270000;23.7
10232;1;202309270000;22.3
10233;1;202309270000;22.4
10234;1;202309270000;21.4
10235;1;202309270000;21.4
10236;1;202309270000;19.1
10237;1;202309270000;18.4
10238;1;202309270000;19.1
10239;1;202309270000;21.3
10240;1;202309270000;21.7
10241;1;202309270000;21.8
10271;1;202309270000;22.0
10273;1;202309270000;21.2
10274;1;202309270000;22.0
10275;1;202309270000;21.8
10276;1;202309270000;22.4
10277;1;202309270000;22.0
10278;1;202309270000;22.5
10279;1;202309270000;22.6
10280;1;202309270000;22.7
10285;1;202309270000;22.0
10286;1;202309270000;22.5
10287;1;202309270000;22.3
10290;1;202309270000;22.2
10291;1;202309270000;22.4
10292;1;202309270000;22.1
10293;1;202309270000;21.3
10294;1;202309270000;22.0
10295;1;202309270000;21.5
10296;1;202309270000;22.3
10298;1;202309270000;21.9
10299;1;202309270000;22.2
10300;1;202309270000;20.0
10301;1;202309270000;21.0
10302;1;202309270000;20.8
10303;1;202309270000;20.9
10304;1;202309270000;20.0
10305;1;202309270000;22.1
10306;1;202309270000;22.8
10307;1;202309270000;20.0
10308;1;202309270000;21.4
10309;1;202309270000;19.6
10310;1;202309270000;20.5
10311;1;202309270000;21.4
10312;1;202309270000;21.6
10313;1;202309270000;21.6
10314;1;202309270000;20.1
10315;1;202309270000;20.3
10316;1;202309270000;21.3
10317;1;202309270000;22.4
10318;1;202309270000;20.3
10319;1;202309270000;21.1
10320;1;202309270000;22.3
10321;1;202309270000;23.0
10322;1;202309270000;20.6
10323;1;202309270000;20.4
10324;1;202309270000;21.0
10325;1;202309270000;21.4
10327;1;202309270000;23.3
10328;1;202309270000;23.3
10329;1;202309270000;21.6
10330;1;202309270000;24.1
10331;1;202309270000;21.4
10332;1;202309270000;19.8
10333;1;202309270000;21.6
10334;1;202309270000;21.4
10335;1;202309270000;20.5
10336;1;202309270000;21.4
10337;1;202309270000;21.3
10338;1;202309270000;21.1
10339;1;202309270000;21.3
10340;1;202309270000;20.7
10341;1;202309270000;21.0
10342;1;202309270000;20.7
10343;1;202309270000;21.2
10345;1;202309270000;20.2
10346;1;202309270000;21.4
10347;1;202309270000;22.4
10348;1;202309270000;20.8
10349;1;202309270000;20.6
10350;1;202309270000;19.4
10351;1;202309270000;20.4
10352;1;202309270000;19.3
10353;1;202309270000;21.0
10354;1;202309270000;21.3
10355;1;202309270000;19.4
10356;1;202309270000;19.3
10357;1;202309270000;21.8
10358;1;202309270000;19.7
10359;1;202309270000;21.1
10360;1;202309270000;19.2
10361;1;202309270000;17.3
10364;1;202309270000;19.9
10365;1;202309270000;22.3
10370;1;202309270000;19.9
10371;1;202309270000;22.0
10372;1;202309270000;15.6
10373;1;202309270000;22.5
10374;1;202309270000;22.6
10375;1;202309270000;20.8
10379;1;202309270000;19.5
10428;1;202309270000;19.3
10429;1;202309270000;20.5
10430;1;202309270000;20.8
10431;1;202309270000;21.3
10432;1;202309270000;23.2
10433;1;202309270000;23.2
10434;1;202309270000;23.4
10435;1;202309270000;23.4
10496;1;202309270000;20.8
10500;1;202309270000;21.9
10502;1;202309270000;17.4
10512;1;202309270000;21.5
10513;1;202309270000;18.3
10514;1;202309270000;21.6
10515;1;202309270000;21.2
10675;1;202309270000;21.3
10762;1;202309270000;21.4
10764;1;202309270000;20.4
10765;1;202309270000;21.1
10766;1;202309270000;19.1
10767;1;202309270000;14.6
10768;1;202309270000;24.4
10770;1;202309270000;21.1
10775;1;202309270000;21.4
10776;1;202309270000;19.3
10778;1;202309270000;21.9
10779;1;202309270000;21.5
10780;1;202309270000;21.0
10781;1;202309270000;21.4
10782;1;202309270000;23.9
10786;1;202309270000;19.1
10787;1;202309270000;19.0
10788;1;202309270000;20.6
10789;1;202309270000;14.1
10790;1;202309270000;20.5
10791;1;202309270000;21.3
10792;1;202309270000;21.0
10793;1;202309270000;21.3
10794;1;202309270000;23.0
10795;1;202309270000;21.0
10796;1;202309270000;16.8
10797;1;202309270000;17.9
10798;1;202309270000;17.5
10799;1;202309270000;20.5
10802;1;202309270000;21.8
10877;1;202309270000;21.5
10878;1;202309270000;21.2
10879;1;202309270000;19.1
10880;1;202309270000;19.1
10881;1;202309270000;22.0
10882;1;202309270000;21.6
10883;1;202309270000;21.8
10884;1;202309270000;20.1
10885;1;202309270000;18.7
10887;1;202309270000;20.9
10888;1;202309270000;20.2
10889;1;202309270000;20.8
10890;1;202309270000;21.7
10891;1;202309270000;23.0
10893;1;202309270000;17.1
10894;1;202309270000;21.9
10895;1;202309270000;21.9
10896;1;202309270000;23.0
10897;1;202309270000;23.9
10899;1;202309270000;23.0
10900;1;202309270000;23.7
10901;1;202309270000;23.3
10902;1;202309270000;23.5
10903;1;202309270000;23.1
10904;1;202309270000;23.4
10905;1;202309270000;17.9
10906;1;202309270000;23.5
10907;1;202309270000;18.0
10908;1;202309270000;23.6
10909;1;202309270000;23.4
10910;1;202309270000;22.0
10912;1;202309270000;22.8
10913;1;202309270000;20.1
10923;1;202309270000;21.8
10924;1;202309270000;17.9
10925;1;202309270000;21.6
10926;1;202309270000;24.1
10927;1;202309270000;22.5
10950;1;202309270000;18.6
10951;1;202309270000;19.3
10952;1;202309270000;21.2
10954;1;202309270000;21.1
10955;1;202309270000;22.0
19992;1;202309270000;21.8
19994;1;202309270000;21.4
19995;1;202309270000;17.2
19996;1;202309270000;21.9
19997;1;202309270000;21.1
19999;1;202309270000;16.0
20221;1;202309270000;15.3
20223;1;202309270000;21.3
20328;1;202309270000;21.7
20391;1;202309270000;18.2
20429;1;202309270000;23.2
20430;1;202309270000;22.3
20431;1;202309270000;15.5
20445;1;202309270000;22.3
20466;1;202309270000;19.1
20467;1;202309270000;19.1
