LocationID;LocationType;Date;tre200dn
10909;1;202309270000;10.1
10910;1;202309270000;9.4
10912;1;202309270000;8.6
10913;1;202309270000;9.3
10923;1;202309270000;12.1
10924;1;202309270000;8.6
10925;1;202309270000;9.2
10926;1;202309270000;12.3
10927;1;202309270000;9.2
10950;1;202309270000;11.5
10951;1;202309270000;11.9
10952;1;202309270000;6.7
10954;1;202309270000;9.4
10955;1;202309270000;8.5
19992;1;202309270000;9.5
19994;1;202309270000;8.3
19995;1;202309270000;12.2
19996;1;202309270000;10.6
19997;1;202309270000;11.6
19999;1;202309270000;8.4
20221;1;202309270000;10.0
20223;1;202309270000;9.2
20328;1;202309270000;7.3
20391;1;202309270000;11.9
20429;1;202309270000;13.4
20430;1;202309270000;11.3
20431;1;202309270000;4.4
20445;1;202309270000;8.9
20466;1;202309270000;8.8
20467;1;202309270000;9.0
20468;1;202309270000;8.0
20469;1;202309270000;9.1
20470;1;202309270000;8.5
20471;1;202309270000;8.7
20472;1;202309270000;7.4
20473;1;202309270000;8.3
20474;1;202309270000;9.3
20475;1;202309270000;9.7
20476;1;202309270000;7.7
20477;1;202309270000;7.6
20585;1;202309270000;3.4
20627;1;202309270000;9.3
20628;1;202309270000;7.7
20629;1;202309270000;10.5
20632;1;202309270000;6.1
20633;1;202309270000;8.9
20634;1;202309270000;7.9
20635;1;202309270000;7.9
20636;1;202309270000;9.1
20805;1;202309270000;4.9
1;1;202309280000;7.3
2;1;202309280000;13.7
3;1;202309280000;13.3
4;1;202309280000;7.4
6;1;202309280000;11.2
7;1;202309280000;8.8
8;1;202309280000;10.3
9;1;202309280000;11.1
10;1;202309280000;9.7
11;1;202309280000;9.4
13;1;202309280000;10.4
14;1;202309280000;10.9
15;1;202309280000;12.3
17;1;202309280000;10.2
18;1;202309280000;9.6
19;1;202309280000;7.6
20;1;202309280000;8.1
22;1;202309280000;13.3
23;1;202309280000;5.6
24;1;202309280000;5.4
25;1;202309280000;9.3
26;1;202309280000;6.5
27;1;202309280000;12.4
28;1;202309280000;7.6
29;1;202309280000;1.2
30;1;202309280000;7.3
31;1;202309280000;12.5
32;1;202309280000;10.6
33;1;202309280000;0.5
34;1;202309280000;9.8
35;1;202309280000;7.6
36;1;202309280000;15.2
37;1;202309280000;12.3
38;1;202309280000;11.2
39;1;202309280000;14.4
40;1;202309280000;10.4
41;1;202309280000;8.0
42;1;202309280000;13.0
43;1;202309280000;10.5
44;1;202309280000;11.2
45;1;202309280000;4.3
46;1;202309280000;9.2
47;1;202309280000;14.9
48;1;202309280000;14.1
49;1;202309280000;11.5
50;1;202309280000;12.2
51;1;202309280000;12.7
52;1;202309280000;11.8
53;1;202309280000;10.6
54;1;202309280000;10.8
56;1;202309280000;14.3
57;1;202309280000;12.4
58;1;202309280000;11.0
59;1;202309280000;9.2
60;1;202309280000;7.9
61;1;202309280000;14.8
62;1;202309280000;6.9
63;1;202309280000;11.5
64;1;202309280000;9.5
65;1;202309280000;9.8
66;1;202309280000;14.1
67;1;202309280000;10.2
68;1;202309280000;12.1
69;1;202309280000;11.1
70;1;202309280000;9.9
71;1;202309280000;12.7
72;1;202309280000;6.5
73;1;202309280000;6.6
74;1;202309280000;3.0
75;1;202309280000;12.6
76;1;202309280000;12.0
77;1;202309280000;13.2
78;1;202309280000;10.0
79;1;202309280000;11.1
80;1;202309280000;10.3
